公園名稱,編號,裡別,面積,類別,座落位置,使用分區,維護管理單位,所在轄區,X座標(TW97),y座標(TW97)
港濱歷史公園,88,億載裡,6.5,區域公園,安億路旁,大型,公園管理一科,安平區,164243.730000,2544175.820000
林默娘紀念公園,89,億載裡,2,區域公園,安億路旁,大型,公園管理一科,安平區,163677.280000,2543837.300000
環港步道(港專區),90,金城裡,2.16,區域公園,安億路旁,大型,公園管理一科,安平區,162332.800000,2544079.190000
橋頭海灘公園,91,金城裡,5,區域公園,四草大橋旁,大型,公園管理一科,安平區,162299.370000,2543674.170000
湖濱水鳥公園,92,西門裡,8.8,區域公園,安北路近四草大橋(鹽水溪畔),大型,公園管理一科,安平區,162817.870000,2544630.650000
安平區歷史水景公園,93,西門裡,13.35,區域公園,安北路、安平路850巷,大型,公園管理一科,安平區,163664.950000,2544849.690000
鹽神白沙灘公園,94,西門裡,13.35,區域公園,,大型,公園管理一科,安平區,163520.920000,2544764.140000
馬雅各長青公園,95,文平裡,1.8,區域公園,建平路與健康路(長青公寓旁),大型,公園管理一科,安平區,166284.330000,2542801.830000
安平區觀夕平台(保護區),96,金城裡,0.4552,區域公園,漁光路旁,大型,公園管理一科,安平區,162069.630000,2543976.960000
運河北岸綠地,97,港仔裡,0.2,區域公園,運河北岸,大型,公園管理一科,安平區,164763.220000,2544374.310000
安平區公園,98,,,,民權路4段,,安平區公所,安平區,165069.400000,2544543.900000
平通公園,99,平通裡,0.55,鄰里公園,平通路756巷102號,鄰里,安平區公所,安平區,165003.090000,2544076.820000
大世界公園,100,億載裡,0.87,鄰里公園,光州一街29號,鄰里,安平區公所,安平區,164181.580000,2543023.210000
文平公園,101,文平裡,0.54,鄰里公園,中華西路二段1號,鄰里,安平區公所,安平區,166537.630000,2543029.880000
世平公園2號,102,金城裡,0.22,鄰里公園,世平路西邊,鄰里,安平區公所,安平區,162770.450000,2544161.150000
四季公園,103,西門裡,0.6,鄰里公園,古堡街與安北路,鄰里,安平區公所,安平區,163724.960000,2544750.010000
怡平公園,104,怡平裡,0.8,鄰里公園,平通路與永華六街口,鄰里,安平區公所,安平區,165567.870000,2543742.290000
永華公園,105,文平裡,0.37,鄰里公園,永華二街,鄰里,安平區公所,安平區,166352.020000,2542896.250000
石頭公園,106,國平裡,0.83,鄰里公園,建平一街,鄰里,安平區公所,安平區,165543.600000,2542815.270000
育平公園,107,育平裡,0.61,鄰里公園,健康三街,鄰里,安平區公所,安平區,164688.810000,2543166.390000
崇仁公園,108,國平裡,0.74,鄰里公園,建平七街409號,鄰里,安平區公所,安平區,165512.650000,2543294.080000
漁光公園,109,漁光裡,0.3853,鄰里公園,漁光路89巷39-1號,鄰里,安平區公所,安平區,163843.820000,2541927.550000
石門公園,110,石門裡,0.116,鄰里公園,安北路103巷7弄,鄰里,安平區公所,安平區,164459.870000,2544628.640000
石門體育公園,111,石門裡,0.2026,鄰里公園,安北路40巷東邊(臨一期綠帶),鄰里,安平區公所,安平區,164704.840000,2544637.100000
建平公園,112,建平裡,0.87,鄰里公園,府前四街與府前三街,鄰里,安平區公所,安平區,166464.360000,2543942.380000
劍獅公園,113,港仔裡,0.2,鄰里公園,安平路與安北路交叉口,鄰里,安平區公所,安平區,164742.600000,2544406.760000
舊聚落歷史公園,114,海頭裡,0.05,鄰里公園,古堡街與效忠街交叉口,鄰里,安平區公所,安平區,164048.210000,2544695.000000
三角公園,162,,0.02,鄰里公園,新興路20巷口,公兒用地,南區區公所(亞洲餐旅學校),南區,168322.600000,2541798.590000
大成公園(公兒4),163,田寮裡,0.1119,鄰里公園,大成路二段42巷56號,鄰里,南區區公所,南區,167584.810000,2541891.090000
大林二公園(公3),164,大林裡,1,區域公園,大同路482巷底,大型,公園管理一科,南區,169157.910000,2541591.750000
大林公園(公兒13),165,大林裡,0.33,鄰里公園,大同路二段482巷,鄰里,南區區公所,南區,169358.670000,2541453.900000
文南公園(公兒2),166,文南裡,0.5,鄰里公園,永南三街23號,鄰里,南區區公所,南區,166710.850000,2542704.000000
文華公園(公兒3),167,文華里,0.58,鄰里公園,永華路275號,鄰里,南區區公所,南區,166928.890000,2543196.050000
日新一號公園(公兒3),168,日新裡,0.29,鄰里公園,利南街223號,鄰里,南區區公所,南區,166776.150000,2541645.480000
日新二號公園(公兒2),169,日新裡,0.0629,鄰里公園,金華路一段503巷,鄰里,南區區公所,南區,166924.710000,2541640.680000
水萍塭公園(公7),170,廣州里,10.16,區域公園,永華路、金華路,大型,公園管理一科,南區,167249.720000,2543086.530000
田寮育樂公園(公兒1),171,田寮裡,0.2606,鄰里公園,新興路265巷48號前,鄰里,南區區公所,南區,167354.860000,2541863.230000
白雪裡公兒6,172,白雪裡,0.111,,新都路與新建路路口(老人會館前),,南區區公所,南區,166597.180000,2540917.560000
石敢當區政廣場,173,,225,好望角,中華南路、明興路口--南區區公所,機關用地,南區區公所,南區,166814.050000,2540153.890000
再興裡一號公園(綠3),174,再興裡,0.21,鄰里公園,三官路46號,鄰里,南區區公所,南區,167318.420000,2542116.260000
再興裡二號公園(綠4),175,再興裡,0.15,鄰里公園,三官路222巷,鄰里,南區區公所,南區,167102.520000,2542161.630000
再興裡三號公園(綠2),176,再興裡,0.06,鄰里公園,新慶街10巷17號,鄰里,南區區公所,南區,167225.510000,2542356.300000
府城藝術轉角,177,,3966.95,好望角,健康路、大同路口--藝術轉角,公園用地,台南文化中心(東東企業),南區,169186.340000,2542418.400000
明和公園(公20),178,國宅裡,3.43,區域公園,中華西路、新興路口,大型,公園管理一科,南區,166389.600000,2541910.420000
花鄉公園(廣7),179,大林裡,0.23,好望角,大林路111巷,鄰里,南區區公所,南區,169199.460000,2541652.320000
金湯公園,180,,4100,好望角,大成路、新都路口,公墓用地,台南市殯葬管理所,南區,168322.590000,2541722.060000
金華公園(公兒1),181,金華里,0.53,鄰里公園,健康路二段247號40號,鄰里,南區區公所,南區,166964.550000,2542337.370000
南區-水交社綠S1,182,,0.01,鄰里公園,,鄰里,南區區公所,南區,168343.750000,2541935.680000
南區-灣裡公10,183,,0.2982,,灣裡路,,南區區公所,南區,165834.640000,2537264.380000
南華公園(新興國宅公兒9),184,南華里,0.219,鄰里公園,中華南路二段300巷30弄,鄰里,南區區公所,南區,166684.290000,2540314.190000
南樂公園(公11),185,文華里,0.152,鄰里公園,南樂街,鄰里,南區區公所,南區,166239.070000,2542682.920000
客來斯樂,186,,371,綠地,勞工育樂中心前,機關用地,勞工局(勞工育樂中心),南區,168430.670000,2542251.380000
建南二號公園(兒1),187,建南裡,0.1,鄰里公園,中華南路二段53巷33號,鄰里,南區區公所,南區,167332.200000,2540162.330000
建南公園(公),188,建南裡,0.65,鄰里公園,德興路230號,鄰里,南區區公所,南區,167203.590000,2540087.510000
郡南公園(綠1),189,郡南裡,0.25,鄰里公園,永安街262巷39號,鄰里,南區區公所,南區,167355.590000,2540706.730000
健康廣場,190,,200,好望角,健康路--健康廣場,廣場用地,南區區公所(亞洲餐旅學校),南區,168964.580000,2542422.700000
桶盤淺公園(公兒14),191,大恩裡,0.75,鄰里公園,大同路二段752巷182號,鄰里,南區區公所,南區,169011.250000,2540767.280000
喜樹平安情社區公園(公兒1),192,喜北裡,0.3292,鄰里公園,喜樹路206巷42弄,鄰里,南區區公所,南區,165774.740000,2538182.230000
新生公園(公英段公兒15),193,新生裡,1.3734,區域公園,大林國宅後方,大型,公園管理一科,南區,169207.800000,2541888.380000
新興裡三角公園(文教用地),194,新興裡,0.02,鄰里公園,新興路20巷口,鄰里,南區區公所,南區,167681.810000,2542247.270000
新興國宅-公兒11,195,光明裡,0.1912,鄰里公園,新興路537巷1號對面,鄰里,南區區公所,南區,166552.550000,2541580.050000
新興國宅-公兒12,196,光明裡,0.1051,鄰里公園,新建路17巷13號,鄰里,南區區公所,南區,166564.270000,2541528.600000
新興國宅-公兒13,197,光明裡,0.0601,鄰里公園,新建路21巷,鄰里,南區區公所,南區,166510.100000,2541395.460000
新興國宅-公兒14,198,光明裡,0.0608,鄰里公園,新建路27巷,鄰里,南區區公所,南區,166523.160000,2541271.790000
新興國宅-公兒15,199,開南裡,0.7196,鄰里公園,新建路37巷,鄰里,南區區公所,南區,166506.550000,2541105.660000
新興國宅-公兒16,200,開南裡,0.0526,鄰里公園,新建路41巷,鄰里,南區區公所,南區,166530.790000,2541020.140000
新興國宅-公兒17,201,彰南裡,0.096,鄰里公園,新建路16巷,鄰里,南區區公所,南區,166398.540000,2541284.780000
新興國宅-公兒19,202,彰南裡,0.1912,鄰里公園,中華西路42巷,鄰里,南區區公所,南區,166309.380000,2541128.570000
新興國宅-公兒20,203,開南裡,0.1578,鄰里公園,新建路28巷,鄰里,南區區公所,南區,166367.570000,2541045.300000
新興國宅-公兒22,204,開南裡,0.7217,鄰里公園,新建路55巷,鄰里,南區區公所,南區,166528.070000,2540695.900000
新興國宅-公兒23,205,開南裡,0.1328,鄰里公園,新建路52巷,鄰里,南區區公所,南區,166409.030000,2540570.980000
新興國宅-公兒24,206,開南裡,0.1062,鄰里公園,新建路54巷,鄰里,南區區公所,南區,166372.620000,2540495.100000
新興國宅-公兒25,207,南華里,0.1972,鄰里公園,中華南路二段302巷6弄,鄰里,南區區公所,南區,166671.300000,2540431.320000
新興國宅-公兒26,208,南華里,0.1592,鄰里公園,中華南路二段第六分局對面,鄰里,南區區公所,南區,166696.000000,2540262.520000
新興國宅-公兒27,209,南都裡,0.1607,鄰里公園,中華南路二段315巷口,鄰里,南區區公所,南區,166444.820000,2540237.330000
萬年公園(灣裡公42),210,省躬裡,1.9,區域公園,明興路925巷口,大型,公園管理一科,南區,166133.370000,2537142.120000
鳳凰來儀,211,,34300,好望角,中華西路--明和公園,公園用地,公園管理一科,南區,166335.080000,2541601.750000
廣州公園(綠1),212,廣州里,0.25,鄰里公園,福吉五街16巷五號,鄰里,南區區公所,南區,167243.610000,2542591.310000
蓮池意象,213,,1730,好望角,夏林路、永華路口--水萍塭公園,公園用地,公園管理一科,南區,167442.710000,2543128.100000
機場入口意象,214,,860,好望角,大同路往機場路口,綠地,公園管理一科,南區,169616.470000,2538728.250000
興南公園(南山段公兒14),215,佛壇裡,0.285,鄰里公園,興南街及省躬三街口,鄰里,南區區公所,南區,166034.800000,2535853.170000
興農公園(灣裡公9),216,興農裡,1.0671,區域公園,明興路211巷口,大型,公園管理一科,南區,166442.620000,2536660.000000
親水公園(公15),217,松安裡,3.47,區域公園,濱海公路旁,大型,公園管理一科,南區,165644.960000,2536800.430000
舉喜段公79公園,218,同安裡,3.4983,區域公園,明興路,大型,公園管理一科,南區,166540.280000,2536715.490000
舉喜重劃-舉喜段公兒S2,219,同安裡,0.0799,,明興路925巷(舉喜重劃自辦),,南區區公所,南區,166591.160000,2537346.670000
舉喜重劃-舉喜段公兒S70,220,同安裡,0.4682,,,,南區區公所,南區,166943.990000,2537510.950000
舉喜重劃-舉喜段公兒S71,221,同安裡,0.2793,,明興路1181巷(舉喜重劃自辦),,南區區公所,南區,166796.790000,2536337.550000
瀨口公園(公2),222,文華里,0.4,鄰里公園,中華西路與建南路口,鄰里,南區區公所,南區,166583.160000,2542884.000000
鯤鯓公園(公兒S1),223,鯤鯓裡,0.12,,鯤鯓路100-1號旁,,南區區公所,南區,165086.810000,2540072.280000
櫻花道,224,,628,好望角,水交社文化園區,綠地,南區區公所,南區,168265.480000,2541742.080000
河堤綠岸,225,,1048,好望角,中華西路、民生路口--臨安橋旁,綠地,公園管理一科,中西區,166637.080000,2544268.230000
鳳凰廣場,226,,365,好望角,火車站地下道出入口及周邊廣場 (標準檢驗局前人行廣場),廣場用地,公共工程處養護科(標準檢驗局),中西區,169182.590000,2544161.970000
社教廣場,227,,4200,好望角,中華西路、府前路口--生活美學館,機關用地,生活美學館,中西區,166668.080000,2543683.550000
稅處光廊,228,,394.07,好望角,忠義路--稅務局,機關用地,稅務局,中西區,168180.420000,2543183.100000
西湖裡入口意象,229,,120,好望角,民權路四段--西湖裡入口,綠地,中西區公所(西湖裡辦公處),中西區,166535.350000,2544410.320000
驛站廣場,230,,610,好望角,中山路、成功路口--台南大飯店前人行廣場,廣場用地,"公共工程處養護科(台南大飯店,高雄客運)",中西區,169140.000000,2544192.980000
車站廣場,231,,1800,好望角,火車站前圓環中央廣場,廣場用地,工務局新建工程一科,中西區,169182.760000,2544192.750000
光廊花園,232,,528,好望角,成功路、臨安路口--三角公園,道路用地,中西區公所(三合裡辦公處),中西區,167462.820000,2544755.820000
惜緣,233,,1647,好望角,地方法院府前路、永福路口,古蹟,台南地方法院,中西區,168008.360000,2543368.530000
小西門圓環(綠2附),234,小西裡,1.08,區域公園,西門路一段、府前路二段,大型,公園管理一科,中西區,167763.140000,2543431.450000
湯德章紀念公園(綠1),235,永華里,0.5,區域公園,民生路、中山路圓環,大型,公園管理一科,中西區,168496.510000,2543692.020000
西門圓環(綠3),236,天後裡,0.84,區域公園,西門路、民族路,大型,公園管理一科,中西區,168001.060000,2544229.940000
南門公園(公8),237,大南裡,1.33,區域公園,南門路、樹林街,大型,公園管理一科,中西區,168407.170000,2542966.470000
檨仔林公園(公11),238,永福裡,2.22,區域公園,忠義路、府前路口,大型,公園管理一科,中西區,168181.590000,2543398.380000
運河東岸景觀綠帶,239,大涼裡,0.12,區域公園,府前路二段239號內,大型,公園管理一科,中西區,167143.870000,2543711.700000
運河星鑽綠化及亮化(特專區),240,,2.9,區域公園,,大型,公園管理一科,中西區,166960.180000,2543980.280000
西湖裡公兒16,241,西湖裡,0.5164,,湖美一街143號旁,,中西區公所,中西區,166071.510000,2544975.820000
文賢公園,242,文賢裡,,,文祥街,,中西區公所,中西區,166755.490000,2544562.810000
民生裡公63,243,民生裡,0.091,,南華街巷內,,中西區公所,中西區,167070.170000,2543269.140000
西賢公園,244,西賢裡,0.4,鄰里公園,西賢一街109巷,鄰里,中西區公所,中西區,165682.980000,2544759.600000
西湖公園(公兒15),245,西湖裡,0.84,鄰里公園,民權路四段頂美一街,鄰里,中西區公所,中西區,166336.110000,2544423.720000
協和公園(公35),246,協和裡,0.32,鄰里公園,民族路三段258號後面,鄰里,中西區公所,中西區,167333.660000,2544572.030000
光賢公園(公兒12),247,光賢裡,0.43,鄰里公園,武聖路151巷50弄,鄰里,中西區公所,中西區,166880.960000,2545097.460000
烏橋公園(兒公5),248,大涼裡,0.54,鄰里公園,府前路二段370號,鄰里,中西區公所,中西區,166759.230000,2543683.040000
湖美公園(公兒17),249,西湖裡,0.4271,鄰里公園,湖美一街42巷北側,鄰里,中西區公所,中西區,166081.080000,2544652.720000
頂湖公園(公兒14),250,西湖裡,0.64,鄰里公園,頂美三街230號前西側,鄰里,中西區公所,中西區,166538.830000,2545037.780000
湖美麗景公園(公38),251,西湖裡,0.2087,鄰里公園,湖美街(湖美社區內),鄰里,中西區公所,中西區,166238.810000,2544845.650000
科技風林,252,,,好望角,本田路、一等三號道路三叉路口??安全島,道路用地,公園管理一科,安南區,161128.870000,2547777.420000
一道彩虹(公32),253,,300,好望角,安中路、安吉路口,公園用地,公園管理一科,安南區,166809.300000,2549555.210000
暮色戚風(公兒1),254,,760,好望角,長和街、環館路口,公園用地,公園管理一科,安南區,170938.010000,2551478.970000
水色小徑(綠21),255,,1400,好望角,長和街、環館路口,公園用地,公園管理一科,安南區,170854.780000,2551495.360000
(綠16),256,,102.43,好望角,北安路、怡安路口(綠地),綠地,安南區公所,安南區,168361.960000,2549305.140000
,257,,90,好望角,海佃路一段、二段與海東橋交接處(道路河川用地),道路河川用地,公共工程處養護工程科,安南區,167089.070000,2547827.590000
,258,,100,好望角,安清路地、安明路口?對面(道路用地),道路用地,環保局,安南區,161279.840000,2551050.850000
安南風情,259,,"3,226",好望角,海佃路地三段、仁安八街口,公園用地,消防局,安南區,166225.370000,2549894.680000
和風樂章,260,,"3,226",好望角,功安二街、仁安八街口,公園用地,消防局,安南區,166197.830000,2549862.940000
大愛公園,261,安慶裡,1.2,區域公園,安中路一段220巷口,大型,公園管理一科,安南區,168733.980000,2548640.320000
和順寮公39,262,東和裡,30,區域公園,長和路與環館路口(台灣歷史博物館旁),大型,公園管理一科,安南區,170957.610000,2551406.670000
海北段公32,263,溪心裡,1.2742,區域公園,安吉路1段與安中路3段路口,大型,公園管理一科,安南區,166780.330000,2549450.710000
和順寮公兒1,264,東和裡,1.7438,區域公園,長和街1段國立歷史博物館對面,大型,公園管理一科,安南區,170957.610000,2551406.670000
北柵公園(和順寮綠21),265,東和裡,1.362,區域公園,環館北路與長和路交叉口,大型,公園管理一科,安南區,170967.980000,2551487.680000
安西公園,266,安西裡,1.0137,區域公園,安西路與安西二街(活動中心旁),大型,公園管理一科,安南區,168926.770000,2548012.910000
紅樹林生態公園,267,鹽田里,6.6,區域公園,本田路與安明路,大型,公園管理一科,安南區,163801.780000,2549004.730000
水月公園,268,,2.287,區域公園,,大型,公園管理一科,安南區,166809.300000,2549555.210000
安南區綠16,269,,0.0463,,長溪路與北安路口,,安南區公所,安南區,168413.490000,2549281.270000
第六十八期公塭重劃(公六),270,公塭裡,0.5638,,公學路5段162號對面,,安南區公所,安南區,164343.940000,2552066.840000
育安公園,271,安順裡,0.4,鄰里公園,育安街與安豐一街(安順活動中心旁),鄰里,安南區公所,安南區,169544.710000,2550110.950000
安順公園,272,安順裡,0.44,鄰里公園,育安三街與培安四街,鄰里,安南區公所,安南區,169385.830000,2549934.280000
南路寮公園,273,安慶裡,0.46,鄰里公園,培安路408號對面與安和路二段111巷,鄰里,安南區公所,安南區,169372.770000,2548724.800000
州北公園(公兒4),274,州北裡,0.46,鄰里公園,安和路五段269巷與北安路四段548巷,鄰里,安南區公所,安南區,169714.620000,2552005.090000
吉祥公園(公兒5),275,佃西裡,0.47,鄰里公園,海佃路四段490巷,鄰里,安南區公所,安南區,165348.390000,2551726.130000
神榕公園(公1),276,佃東裡,0.8,鄰里公園,公學路4段54巷底(十二佃神榕旁),鄰里,安南區公所,安南區,165793.040000,2552184.870000
鹿耳門公園,277,城東裡,0.75,鄰里公園,城安一街、城安四街(土城聖母廟旁),鄰里,安南區公所,安南區,160611.250000,2551872.580000
梅花公園,278,梅花裡,0.46,鄰里公園,安中路一段699號,鄰里,安南區公所,安南區,167515.670000,2549094.480000
懷恩公園(公兒6),279,淵東裡,0.37,鄰里公園,智安三街與仁安一街,鄰里,安南區公所,安南區,165770.620000,2550348.180000
台鹼公園,280,鹿耳裡,0.24,鄰里公園,台鹽宿舍旁、顯宮國小旁,鄰里,安南區公所,安南區,160371.770000,2548426.470000
塭南公園(公兒3),281,塭南裡,0.33,鄰里公園,長和路二段12巷277弄37號旁,鄰里,安南區公所,安南區,170183.300000,2552192.850000
新順公園(一)(公兒36),282,新順裡,0.25,鄰里公園,安豐六街與育安街與育安四街,鄰里,安南區公所,安南區,169651.530000,2549697.850000
保和公園(公兒8),283,新順裡,0.35,鄰里公園,安慶路與頂安街(保安宮旁),鄰里,安南區公所,安南區,169473.290000,2549426.600000
新順公園(二)(公兒6),284,新順裡,0.75,鄰里公園,安豐六街與育安街,鄰里,安南區公所,安南區,169585.430000,2549678.830000
感恩公園,286,溪心裡,0.32,鄰里公園,功安一街與仁安二街,鄰里,安南區公所,安南區,165958.060000,2550055.310000
十字公園,287,溪心裡,0.45,鄰里公園,樂安一街與安中路三段59巷,鄰里,安南區公所,安南區,166220.260000,2549695.370000
仁安公園,288,溪心裡,0.54,鄰里公園,功安四街與仁安路,鄰里,安南區公所,安南區,166055.200000,2550417.130000
溪心公園,289,溪心裡,0.55,鄰里公園,仁安六街與功安四街,鄰里,安南區公所,安南區,166272.550000,2550085.450000
鳳凰公園,290,鳳凰裡,0.47,鄰里公園,安中路一段700巷,鄰里,安南區公所,安南區,167867.740000,2549228.210000
總頭公園,291,總頭裡,0.36,鄰里公園,長溪街二段570巷,鄰里,安南區公所,安南區,168451.170000,2550576.110000
大安裡公園,292,大安裡,0.34,鄰里公園,義安街156巷口至義安街198巷口,鄰里,安南區公所,安南區,167568.440000,2548289.520000
原佃安吉公園(公兒9),293,原佃裡,0.46,鄰里公園,近安中路與安吉路口,鄰里,安南區公所,安南區,166735.430000,2549449.630000
州北裡運動公園(公31),294,州北裡,0.5798,鄰里公園,安昌街與安昌街19巷口,鄰里,安南區公所,安南區,169803.110000,2552014.690000
顯宮公園(媽宮段公兒2),295,顯宮裡,0.3,鄰里公園,鹿耳門媽祖宮後方,鄰里,安南區公所,安南區,160296.180000,2548796.040000
理想巴洛克公園(公兒10),296,理想裡,0.14,鄰里公園,大安街213巷內,鄰里,安南區公所,安南區,167306.300000,2548410.130000
樂成公園,297,安西裡,0.5,鄰里公園,安通路4段47巷28號對面,鄰里,安南區公所,安南區,169119.780000,2547843.310000
頂好公園,298,頂安裡,0.578,鄰里公園,安中路一段330號對面,鄰里,安南區公所,安南區,168500.650000,2548670.660000
慈雲公園,299,安慶裡,0.395,鄰里公園,安中路一段222之1號對面,鄰里,安南區公所,安南區,168675.970000,2548488.030000
箔仔寮公園,300,安西裡,0.4977,鄰里公園,慈安路安西裡活動中心對面,鄰里,安南區公所,安南區,168908.090000,2548199.170000
高興公園,301,安西裡,0.3448,鄰里公園,安西一街與安通三街21號旁,鄰里,安南區公所,安南區,168544.030000,2547898.140000
頂美公園,302,安西裡,0.698,鄰里公園,慈安路、安通三街(和欣客運旁),鄰里,安南區公所,安南區,168564.240000,2548109.670000
州南公園(州南段公兒7),303,州南裡,0.5439,鄰里公園,長和路3段133巷與133巷66弄交叉處,鄰里,安南區公所,安南區,169745.950000,2551405.690000
理想社區公園(海東段公兒13),304,理想裡,0.4302,鄰里公園,大安街145巷口,鄰里,安南區公所,安南區,167228.250000,2548159.610000
梅花裡社區公園(公兒27),305,梅花裡,0.394,鄰里公園,同安路262巷與262巷43弄交叉口(安慶國小大門前),鄰里,安南區公所,安南區,167270.240000,2549045.110000
溪仔墘植物公園(公兒1),306,溪墘裡,0.3162,鄰里公園,海佃路一段372巷與安寧街交叉口,鄰里,安南區公所,安南區,167256.660000,2547622.230000
溪東水岸公園,307,溪東裡,0.259,鄰里公園,府安路5段98巷內,鄰里,安南區公所,安南區,168050.460000,2547196.940000
溪東親子公園,308,溪東裡,0.3406,鄰里公園,安富街與郡安路5段153巷交叉處,鄰里,安南區公所,安南區,167834.340000,2547508.210000
外塭休憩公園(公1),309,塭南裡,0.9881,鄰里公園,安昌街與安昌街106巷口,鄰里,安南區公所,安南區,169974.950000,2552224.850000
溪東育樂公園,310,溪東裡,0.2625,鄰里公園,安富街與郡安路5段153巷交叉處後方,鄰里,安南區公所,安南區,167937.590000,2547531.890000
海佃休閒公園(公兒12),311,海佃裡,0.3494,鄰里公園,郡安路6段55巷及國安街156巷198弄交叉口,鄰里,安南區公所,安南區,166733.170000,2547565.220000
公塭裡休憩公園(公兒3),312,公塭裡,0.2727,鄰里公園,育英街前(興國大學旁),鄰里,安南區公所,安南區,164014.360000,2551758.310000
梅花友愛公園,313,梅花裡,0.291,鄰里公園,,鄰里,安南區公所,安南區,167929.080000,2548936.290000
梅花安中公園,314,梅花裡,0.3641,鄰里公園,,鄰里,安南區公所,安南區,167971.360000,2548908.700000
梅花北安公園(綠1),315,梅花裡,0.0419,鄰里公園,,鄰里,安南區公所,安南區,168256.000000,2548648.450000
草湖寮社區公園,316,梅花裡,0.12,鄰里公園,安中路一段699巷後面梅花公園旁,鄰里,安南區公所,安南區,167625.560000,2549097.650000
媽祖宮公園(宗專7),317,鹿耳裡,0.8929,鄰里公園,媽祖宮一街136號,鄰里,安南區公所,安南區,160209.410000,2548581.150000
和館段公兒2,318,東和裡,0.2631,鄰里公園,博館路與博和路交叉口,鄰里,安南區公所,安南區,171631.660000,2551989.070000
溝南厝紀念公園(公兒7),319,佃東裡,0.25,鄰里公園,海佃路四段388巷2弄旁,鄰里,安南區公所,安南區,165723.940000,2551467.970000
長安社區親水公園(鎮安段公兒4),320,長安裡,0.4709,鄰里公園,長溪街3段405巷40弄,鄰里,安南區公所,安南區,167348.830000,2551940.430000
館前公園(綠22、綠22-1),321,東和裡,0.1734,鄰里公園,長和路1段(河道產業道路),鄰里,安南區公所,安南區,171179.460000,2550274.030000
五塊寮慶和公園(綠23),322,東和裡,0.4154,鄰里公園,長和路2段(河道產業道路),鄰里,安南區公所,安南區,170889.090000,2550325.500000
大道公園(朝皇段公兒19),323,海西裡,0.5607,鄰里公園,海環街,鄰里,安南區公所,安南區,166397.130000,2548735.110000
海前重劃-第八十三期海前公兒4,324,海東裡,0.2837,鄰里公園,海東3街與海東街口,鄰里,安南區公所,安南區,166924.920000,2548022.300000
海前重劃-第八十二期海前(一)公1,325,海東裡,0.5933,鄰里公園,安通路六段與海前路口,鄰里,安南區公所,安南區,167005.900000,2547819.080000
海前重劃-第八十三期海前公兒4,326,海東裡,0.3693,鄰里公園,安通路六段與海佃路2段,鄰里,安南區公所,安南區,166904.950000,2547802.920000
安東裡公兒16,327,安東裡,0.3188,鄰里公園,安和路1段478巷2弄,鄰里,安南區公所,安南區,169412.770000,2548271.420000
驛站廣場,328,,515,好望角,成功路、富北街口--國賓大樓前人行廣場,廣場用地,公共工程處養護科,北區,169104.170000,2544259.620000
翡翠項鍊,329,,12000,好望角,公園南路、臨安路口--公六,公園用地,公園管理一科,北區,168101.750000,2544852.540000
東豐綠園,331,,650,好望角,東豐路、開元路口--鐵路邊,公園道用地,北區區公所(興北裡辦公處),北區,169395.240000,2544947.880000
台語文學廣場,332,,380,好望角,公園南路、臨安路口--連雅堂公園,公園用地,公園管理一科,北區,167972.060000,2544927.780000
順心如意街角,333,,300,好望角,公園南路、臨安路口--和順裡公園,公園用地,北區區公所,北區,168047.910000,2544944.870000
和緯林蔭步道,335,,1975,好望角,和緯路公園路口-延平國中對面,綠地,北區區公所,北區,169196.220000,2545647.410000
月光草坪,336,,2775,好望角,公園北路、北門路口(台南公園東北角),公園用地,公園管理一科,北區,169362.930000,2544925.680000
重興綠園,337,重興裡,1079,好望角,林森路四段140巷重興裡活動中心旁空地,公園用地,北區區公所,北區,170716.770000,2544863.770000
健康快活步道,338,,861,好望角,光武裡活動中心後方(公兒32),公園用地,北區區公所(光武裡辦公處),北區,169612.640000,2545821.480000
台南公園,339,公園裡,14.63,區域公園,公園路、公園南路、公園北路、北門路,大型,公園管理一科,北區,169302.350000,2544623.340000
小東公園(公5),340,東興裡,4,區域公園,林森路三段、小東路口,大型,公園管理一科,北區,170545.190000,2544656.920000
開元振興公園(公兒10),341,振興裡,3.3,區域公園,林森路、開南街口,大型,公園管理一科,北區,170363.210000,2545332.310000
連雅堂紀念公園,342,安民裡,0.98,區域公園,海安路、臨安路、公園南路口,大型,公園管理一科,北區,167879.980000,2544849.770000
元寶桂花公園,343,元寶裡,1.1417,區域公園,北園街114巷底南側(北園公園對面),大型,公園管理一科,北區,170460.530000,2545919.400000
永祥公園,344,永祥裡,1.8,區域公園,實踐街,大型,公園管理一科,北區,170005.590000,2546037.100000
長榮公園(富台段公兒38),345,長榮裡,0.8695,區域公園,開元路249巷(近長榮路口),大型,公園管理一科,北區,169940.230000,2545487.940000
興北公園,346,興北裡,0.1746,,公園路634巷,,北區區公所,北區,169204.380000,2545355.670000
東興綠邑公園(公兒6),347,東興裡,0.12,,東興路二段尾,,北區區公所,北區,171306.350000,2544450.590000
成德裡公兒4-2,348,成德裡,0.2844,,中華北路2段196號旁,,北區區公所,北區,168322.950000,2546826.010000
福德公園,349,成德裡,0.547,,文成路、育德三街,,北區區公所,北區,168240.670000,2545985.360000
大興公園,350,大豐裡,0.2997,,文賢路與大興街口(特力屋對面),,北區區公所,北區,167335.640000,2545826.080000
豐興公園(公兒5),351,東興裡,0.2,鄰里公園,東豐路尾(桌球館斜對面),鄰里,北區區公所,北區,170814.280000,2544672.450000
