公園名稱,編號,裡別,面積,類別,座落位置,使用分區,維護管理單位,所在轄區,X座標(TW97),y座標(TW97)
公兒,1057,,4.88,鄰里公園,,鄰里,官田區公所,官田區,180838.360000,2568493.900000
公兒三,1059,,0.29,鄰里公園,,鄰里,柳營區公所,柳營區,180413.840000,2575404.770000
公兒,1060,,0.2524,鄰里公園,,鄰里,柳營區公所,柳營區,180156.260000,2575086.370000
公兒,1061,,0.261,鄰里公園,,鄰里,柳營區公所,柳營區,180154.530000,2575065.450000
公1,1062,,2.01,區域公園,,大型,將軍區公所,將軍區,164050.110000,2566777.240000
麻豆公一,1063,,0.43,鄰里公園,,鄰里,麻豆區公所,麻豆區,173500.360000,2565521.550000
麻豆公十一,1064,,0.9,鄰里公園,,鄰里,麻豆區公所,麻豆區,174125.410000,2564483.660000
麻豆兒十,1065,,0.43,鄰里公園,,鄰里,麻豆區公所,麻豆區,174374.870000,2564533.110000
善化公三,1066,,1.44,區域公園,,大型,善化區公所,善化區,177293.370000,2559610.540000
牛墟公園,1067,,0.2,鄰里公園,,鄰里,善化區公所,善化區,177078.960000,2558762.070000
善化公滯十,1069,,5.49,區域公園,,大型,善化區公所,善化區,178829.670000,2557020.720000
新市公兒五,1071,,0.15,鄰里公園,,鄰里,新市區公所,新市區,178353.880000,2553623.530000
南科公一,1072,,2.38,,,,公園管理二科,新市區,175050.420000,2557564.670000
南科公二,1073,,4.63,,,,公園管理二科,新市區,175192.920000,2557383.670000
南科公三,1074,,5.51,,,,新市區公所,新市區,175537.290000,2557568.990000
南科公四,1075,,0.62,,,,公園管理二科,新市區,176327.920000,2557560.420000
南科公五,1076,,0.69,,,,新市區公所,新市區,176293.030000,2557298.580000
南科公六,1077,,17.28,,,,新市區公所,新市區,176294.740000,2556898.890000
南科公七,1078,,6.07,,,,新市區公所,新市區,176233.700000,2555757.650000
南科公八,1079,,4.74,,,,新市區公所,新市區,176304.920000,2555845.900000
南科公九,1080,,6.11,,,,新市區公所,新市區,175972.710000,2555330.590000
南科公十,1081,,0.57,,,,公園管理二科,新市區,177247.550000,2555983.590000
南科公十一,1082,,0.83,,,,公園管理二科,新市區,177090.410000,2555501.850000
南科公十二,1083,,0.81,,,,新市區公所,新市區,176883.460000,2555037.400000
南科公十三,1084,,19.97,,,,新市區公所,新市區,176526.610000,2554491.640000
南科公十四,1085,,5.62,,,,新市區公所,新市區,176383.640000,2557187.160000
南科公十五,1086,,30,,,,新市區公所,新市區,175304.670000,2556010.660000
南科公二一,1087,,8.23,,,,新市區公所,新市區,174492.180000,2556998.480000
南科公二二,1088,,11.45,,,,新市區公所,新市區,174686.150000,2556930.390000
南科公二三,1089,,6.92,,,,新市區公所,新市區,174801.630000,2554817.040000
南科公二四,1090,,6.98,,,,新市區公所,新市區,174979.070000,2554898.550000
南科公二五,1091,,3.72,,,,新市區公所,新市區,174247.710000,2557189.970000
新市公滯四,1092,,5.22,區域公園,,大型,新市區公所,新市區,173700.850000,2554767.690000
新市公滯十一,1093,,12.2,區域公園,,大型,新市區公所,新市區,178545.770000,2556472.460000
南瀛綠都心公園,1094,,5.73,區域公園,,大型,公園管理二科,新營區,179942.920000,2578824.580000
新營公二十,1095,,0.33,鄰里公園,,鄰里,新營區公所,新營區,178293.840000,2578790.940000
新營公兒十九,1096,,0.12,鄰里公園,,鄰里,新營區公所,新營區,178413.000000,2578748.290000
新營公兒二一,1097,,0.19,鄰里公園,,鄰里,新營區公所,新營區,177950.610000,2578503.450000
新營公兒四六,1100,,0.23,鄰里公園,,鄰里,新營區公所,新營區,180615.620000,2579672.050000
新營公兒四八,1101,,0.61,鄰里公園,,鄰里,新營區公所,新營區,180905.360000,2579383.640000
新營公兒五十,1102,,0.21,鄰里公園,,鄰里,新營區公所,新營區,181132.710000,2579598.870000
公二,1103,,1.54,區域公園,,大型,楠西區公所,楠西區,197302.870000,2564044.800000
