統計年,縣市別,區域別,年底人口數,土地面積,人口密度
104,彰化縣,北斗鎮,91113,19.2547,4732
104,彰化縣,員林鎮,33225,40.038,830
104,彰化縣,溪湖鎮,55742,32.0592,1739
104,彰化縣,田中鎮,42490,34.6056,1228
104,彰化縣,二林鎮,51882,92.8478,559
104,彰化縣,線西鄉,17040,18.0856,942
104,彰化縣,伸港鄉,36464,22.3268,1633
104,彰化縣,福興鄉,47618,49.8934,954
104,彰化縣,秀水鄉,39352,29.3447,1341
104,彰化縣,花壇鄉,45984,36.3469,1265
104,彰化縣,芬園鄉,24003,38.0204,631
104,彰化縣,大村鄉,36531,30.7837,1187
104,彰化縣,埔鹽鄉,32954,38.6081,854
104,彰化縣,埔心鄉,34833,20.9526,1662
104,彰化縣,永靖鄉,37985,20.6382,1841
104,彰化縣,社頭鄉,43492,36.1449,1203
104,彰化縣,二水鄉,15629,29.4449,531
104,彰化縣,田尾鄉,27567,24.0375,1147
104,彰化縣,埤頭鄉,30869,42.7508,722
104,彰化縣,芳苑鄉,34352,91.3827,376
104,彰化縣,大城鄉,17516,63.7406,275
104,彰化縣,竹塘鄉,15638,42.1662,371
104,彰化縣,溪州鄉,30539,75.831,403
104,南投縣,南投市,101622,71.6021,1419
104,南投縣,埔裡鎮,82212,162.2227,507
104,南投縣,草屯鎮,98837,104.0327,950
104,南投縣,竹山鎮,56053,247.3339,227
104,南投縣,集集鎮,11229,49.7268,226
104,南投縣,名間鄉,39666,83.0955,477
104,南投縣,鹿谷鄉,18234,141.8981,129
104,南投縣,中寮鄉,15353,146.6541,105
104,南投縣,魚池鄉,16289,121.3735,134
104,南投縣,國姓鄉,19360,175.7042,110
104,南投縣,水裡鄉,18339,106.8424,172
104,南投縣,信義鄉,16525,1422.4188,12
104,南投縣,仁愛鄉,15771,1273.5312,12
104,雲林縣,斗六市,108359,93.7151,1156
104,雲林縣,斗南鎮,45590,48.1505,947
104,雲林縣,虎尾鎮,70551,68.742,1026
104,雲林縣,西螺鎮,46840,49.7985,941
104,雲林縣,土庫鎮,29401,49.0212,600
104,雲林縣,北港鎮,41006,41.4999,988
104,雲林縣,古坑鄉,32326,166.6059,194
104,雲林縣,大埤鄉,19727,44.9973,438
104,雲林縣,莿桐鄉,29232,50.8502,575
104,雲林縣,林內鄉,18664,37.6035,496
104,雲林縣,二崙鄉,27939,59.5625,469
104,雲林縣,崙背鄉,25469,58.484,435
104,雲林縣,麥寮鄉,44600,80.1668,556
104,雲林縣,東勢鄉,15391,48.3562,318
104,雲林縣,褒忠鄉,13349,37.0552,360
104,雲林縣,臺西鄉,24576,54.0983,454
104,雲林縣,元長鄉,26857,71.5872,375
104,雲林縣,四湖鄉,24742,77.1189,321
104,雲林縣,口湖鄉,28489,80.4612,354
104,雲林縣,水林鄉,26525,72.9582,364
104,嘉義縣,太保市,37212,66.8964,556
104,嘉義縣,朴子市,42956,49.5737,867
104,嘉義縣,布袋鎮,27954,61.7307,453
104,嘉義縣,大林鎮,31697,64.1663,494
104,嘉義縣,民雄鄉,71862,85.4969,841
104,嘉義縣,溪口鄉,15113,33.0463,457
104,嘉義縣,新港鄉,32797,66.0495,497
104,嘉義縣,六腳鄉,24202,62.2619,389
104,嘉義縣,東石鄉,25751,81.5821,316
104,嘉義縣,義竹鄉,19258,79.2925,243
104,嘉義縣,鹿草鄉,16119,54.3151,297
104,嘉義縣,水上鄉,50431,69.1198,730
104,嘉義縣,中埔鄉,45724,129.5016,353
104,嘉義縣,竹崎鄉,36546,162.2256,225
104,嘉義縣,梅山鄉,20010,119.7571,167
104,嘉義縣,番路鄉,11865,117.5269,101
104,嘉義縣,大埔鄉,4621,173.2472,27
104,嘉義縣,阿里山鄉,5721,427.8471,13
104,屏東縣,屏東市,202562,65.067,3113
104,屏東縣,潮州鎮,54719,42.4331,1290
104,屏東縣,東港鎮,48058,29.4635,1631
104,屏東縣,恆春鎮,30874,136.763,226
104,屏東縣,萬丹鄉,51647,57.4679,899
104,屏東縣,長治鄉,30305,39.8861,760
104,屏東縣,麟洛鄉,11231,16.26,691
104,屏東縣,九如鄉,22090,42.0187,526
104,屏東縣,裡港鄉,27040,68.9208,392
104,屏東縣,鹽埔鄉,26361,64.3493,410
104,屏東縣,高樹鄉,25163,90.1522,279
104,屏東縣,萬巒鄉,20765,60.7315,342
104,屏東縣,內埔鄉,55644,81.8554,680
104,屏東縣,竹田鄉,17544,29.0732,603
104,屏東縣,新埤鄉,10058,59.0102,170
104,屏東縣,枋寮鄉,25120,57.7347,435
104,屏東縣,新園鄉,36217,38.3109,945
104,屏東縣,崁頂鄉,16155,31.2659,517
104,屏東縣,林邊鄉,18896,15.6233,1209
104,屏東縣,南州鄉,10857,18.97,572
104,屏東縣,佳冬鄉,19905,30.9842,642
104,屏東縣,琉球鄉,12517,6.8018,1840
104,屏東縣,車城鄉,8917,49.8517,179
104,屏東縣,滿州鄉,7999,142.2013,56
104,屏東縣,枋山鄉,5644,17.2697,327
104,屏東縣,三地門鄉,7701,196.3965,39
104,屏東縣,霧臺鄉,3329,278.796,12
104,屏東縣,瑪家鄉,6769,78.7008,86
104,屏東縣,泰武鄉,5217,118.6266,44
104,屏東縣,來義鄉,7570,167.7756,45
104,屏東縣,春日鄉,4806,160.001,30
104,屏東縣,獅子鄉,4806,301.0018,16
104,屏東縣,牡丹鄉,4767,181.8366,26
104,臺東縣,臺東市,106759,109.7691,973
104,臺東縣,成功鎮,14652,143.9939,102
104,臺東縣,關山鎮,8923,58.7351,152
104,臺東縣,卑南鄉,17507,412.6871,42
104,臺東縣,大武鄉,6324,69.1454,91
104,臺東縣,太麻裡鄉,11374,96.6523,118
104,臺東縣,東河鄉,8847,210.1908,42
104,臺東縣,長濱鄉,7579,155.1868,49
104,臺東縣,鹿野鄉,8107,89.698,90
104,臺東縣,池上鄉,8488,82.6854,103
104,臺東縣,綠島鄉,3775,15.0919,250
104,臺東縣,延平鄉,3575,455.8805,8
104,臺東縣,海端鄉,4322,880.0382,5
